of vital importance	2
negatively	1
outright isolation	1
massively rigged	0
thousand of it supporter denied the vote	0
crisis of illegitimacy	1
blatant fraud	0
marred by state sponsored violence	0
the most ideal way	3
wasn not easy	1
will be successful in their work	3
that would have integrity	3
most important task	2
let 's support them	3
fair	3
who are highly respected within the society	3
ill treatment	1
should	2
tradition of humane treatment	3
not satisfactory	1
inhumane	0
inhumane	0
to send a memorandum of protest	1
inhumane	1
inhumane	1
undoubtedly the most logical	2
appreciable	3
will be rich in promise	3
who said that space investment were not interesting	3
will become one of the best element	3
looking radiant	3
his dynamism is an asset	4
readiness to guarantee	2
ha no reason to think otherwise	2
humane and reasonable	3
inhumane	1
is not justified	1
is not appropriate	1
is the appropriate one	3
humane and reasonable	3
humanely	3
must	2
applaud everything	1
could of course become necessary	2
must	2
should criticize	1
should raise it voice against the united state	2
ha had good reason	3
cannot be the duty	2
no reason to criticize	2
must	2
with only sparse information	1
are not sometimes inclined to sacrifice these value for the good cause	0
whoever cease fighting for whatever reason is entitled to protection	2
terrible tragedy	0
to polish their own image	1
can and should never be	1
must be constantly tested	2
is undoubtedly justified	4
not in the united state alone are the screw being tightened	2
would still never be justifiable	0
crippled	1
must be respected	4
making themselves felt far from the battlefield	1
entitled at all time to decent treatment	3
attack on the freedom and value	0
something sometimes go wrong	1
fall far short	0
despite	1
great deal of truth	2
can probably never pas this test	0
our usama bin ladin	0
speak for themselves	2
is hardly feasible	2
would amount to a flagrant violation	0
rightly a champion	3
apart from the reason or justification for such an action	2
seems to be a difference	1
must take all precaution to prevent such a tragedy	2
all the more to be deplored	0
there is no doubt	2
leaf no doubt	2
whether the global ban on torture can be abused on that account is another matter	0
were imperative	2
also suggested that death would be the only way out of the conflict	0
however the end	2
doe not justify all the mean	0
it is doubtful	2
you can hardly speak of a targeting error	0
out of well understood self interest	2
humanitarian law wa violated regularly	0
the jewel of the u constitution	4
can never be	2
must henceforth become more bearable especially	3
will prove respect for human dignity	3
it seems doubtful	1
would not serve either a justification	2
excessively harsh	0
ha nothing to do with	2
subjected to sensory deprivation	1
nor doe it seem proper	1
distortion of reality	0
doe not help dispel the suspicion	0
it is another matter to launch into scandal or anti americanism	2
possible excess and violation of right	1
even in some case pure falsehood	0
will have to be taken into account before political and moral judgment of guilty or not guilty are made	2
only possible definition will be torture and the violation of human right	0
the decisive fact	2
confined to minute cell	1
this enormous difference is not enough	0
must be known a soon a possible	2
inhumane nature	1
ha ignored	1
are in themselves enough	2
principle are at stake	2
refused	1
equally worryingly	0
this impression is reinforced by the fact	2
despot around the world will know how to exploit	0
an expression of a higher form of justice	4
infinitely difficult to reconcile oneself	0
a an unshakeable defender of this same justice	4
reject	2
exploiting	0
what is at issue here	2
without any great amount of debate	2
a is the right	2
convince the american that the bush administration ha not only succeeded in removing a regime of religious madman	0
being harmed	0
ha allowed itself to infringe international rule	1
paint a picture of a united state	2
they face the risk	0
this doe not alter the fact	2
demonstrated great skill	2
superpower ha entered a legal fog	1
far reaching repercussion	0
something to which they have a right	2
of chained and humiliated	0
battlefield prisoner	2
operation infinite justice	2
in the name of self righteousness	0
subjected	2
an attempt to satisfy a primitive thirst for revenge	0
compromising the image of the war against terrorism	0
will undoubtedly rub off	0
a nonsense term	1
a prisoner of war	2
undermining the legitimacy	0
they have a moral duty to speak out	2
be difficult	1
a product of the cold war era	2
become clearer and clearer	2
doe not even have the right to look after it door and to protect it yard	2
trend of pragmatism	2
not only the u war	2
but also a world war	2
large political donation to the republican party	2
lie completely with the u side	2
retaliate	1
only the united state ha the capability	2
can best illustrate	2
would not trigger an arm race	2
proceeding from the u immediate interest	2
would not enforce	2
that do not follow it order	2
major force of anti terrorism	4
obviously	2
is for the purpose	2
it is anybody 's guess	2
two ism	2
catering to the interest of the u oil and coal baron	0
if one go by the u logic only the u spy plane is permitted to spy at other people 's doorstep	0
genuinely securing	2
alternate use of and complementary nature of pragmatism and unilateralism	2
that restrict or prevent u freedom	2
hostile regime	0
unilateralism and pragmatism	2
pragmatism	2
thus ha lost it binding force	2
constitute the characteristic	2
world 's sole superpower	2
immediately	2
doe not want anything to do with	1
like using multilateral diplomacy to enhance u unilateralism	2
attacking other country and at the same time preventing other country from attacking it	2
traditional policy	2
supported by the world	2
always cause trouble	2
unilateralism and pragmatism have become bush 's main foreign policy line	2
on the basis of that country 's attitude	2
practice pragmatism	2
either you are with u or you are with the terrorist	0
only the u spy plane is permitted to spy at other people 's doorstep	2
benefit	2
unanimous	2
pragmatism and unilateralism position	2
by flashing a carrot on a stick	0
doe not want anything to do with	1
would not pose a threat	2
freeze	2
sole super power	2
hard on the heel	2
will almost certainly	2
one of the greatest problem	1
obstacle	1
it is necessary now to find out the truth	2
he will be there in ramallah for a long a i remain prime minister	1
ambiguity	1
and punish those guilty	1
to keep yasser arafat stranded	1
for the sake of peace	3
the country 's judicial system more than their client will be on trial	2
wa so hard on	1
when it wa lenient	3
amnesty	2
wa an affront to the muslim people	0
a growing impression that misuari could pose a security threat	1
not true	1
why can not it accord the same privilege to chairman misuari	2
protest	1
we cannot do otherwise but follow	2
should be cause for a muslim war	0
leak over the frontier	1
ensure instability or militancy	1
ensure the stability	3
all necessary measure	2
mastermind of the terror attack	0
a free hand regarding chechnia	4
almost inconspicuously	2
one could not fail taking note	2
everything good and nice	0
true	2
positive neutrality policy	2
unconditionally and without delay	2
exceeded	1
